0.667998	29
0.719435	30
0.770889	27
0.822208	28
0.873536	28
0.924856	31
0.976273	30
1.027580	29
1.078974	29
1.130405	30
1.181712	29
1.233140	29
1.284554	30
1.335958	29
1.387269	29
1.438670	28
1.489972	26
1.541276	31
1.592572	30
1.643899	28
1.695362	26
1.746918	31
1.798351	30
1.849766	28
1.901164	30
1.952472	30
2.003765	27
2.055187	27
2.106533	28
2.157843	29
2.209161	31
2.260611	31
2.312029	28
2.363431	31
2.414746	30
2.466205	29
2.517525	30
2.568834	29
2.620242	30
2.671691	27
2.723018	29
2.774356	30
2.825676	28
2.877178	26
2.928596	27
2.980000	31
3.031060	29
3.082112	29
3.133161	30
3.184191	27
3.235240	28
3.286296	28
3.337343	31
3.388385	29
3.439434	29
3.490481	30
3.541528	27
3.592562	30
3.643611	28
3.694660	29
3.745714	30
3.796851	32
3.848303	29
3.899637	29
3.950949	29
4.002247	30
4.053660	30
4.105117	29
4.156472	28
4.207554	27
4.258578	29
4.309577	30
4.360564	30
4.411849	29
4.463152	28
4.514531	29
4.566008	29
4.617430	29
4.668825	29
4.720246	27
4.771651	29
4.823049	27
4.874332	27
4.925632	28
4.977115	28
5.028396	27
5.079673	28
5.131067	30
5.182335	27
5.233629	30
5.284654	29
5.335674	29
5.386698	30
5.437717	29
5.488731	32
5.540116	29
5.591403	29
5.642805	29
5.694083	27
5.745482	30
5.796980	28
5.848377	30
5.899657	28
5.950941	31
6.002299	31
6.053563	29
6.104833	28
6.156180	29
6.207466	29
6.258837	29
6.310112	31
6.361382	31
6.412644	29
6.464052	29
6.515441	29
6.566713	31
6.617996	28
6.669284	28
6.720559	29
6.771932	28
6.823324	29
6.874603	27
6.925977	27
6.977255	27
7.028630	29
7.079994	30
7.131294	27
7.182569	28
7.233862	27
7.285309	28
7.336696	29
7.388082	29
7.439468	27
7.490854	29
7.542147	29
7.593426	28
7.644721	27
7.696083	27
7.747486	27
7.798872	29
7.850156	27
7.901426	29
7.952699	29
8.003721	28
8.054743	29
8.105751	30
8.156807	30
8.207818	30
8.258836	30
8.309846	30
8.360861	30
8.411861	29
8.462874	29
8.513886	29
8.564895	29
8.615978	29
8.666989	30
8.718001	29
8.769067	31
8.820511	29
8.871825	31
8.923143	30
8.974452	30
9.025760	26
9.077264	29
9.128742	29
9.180655	28
9.231729	29
9.282739	29
9.333732	28
9.384728	28
9.435712	28
9.486702	29
9.538076	29
9.589361	29
9.640707	28
9.692098	29
9.743476	28
9.794888	29
9.846180	29
9.897464	30
9.948831	29
10.000194	28
10.051583	29
10.102857	29
10.153890	29
10.204914	28
10.256041	30
10.307068	29
10.358095	29
10.409116	29
10.460137	29
10.511157	28
10.562181	30
10.613202	28
10.664225	28
10.715242	28
10.766273	27
10.817299	31
10.868315	29
10.919335	28
10.970359	27
11.021380	30
11.072394	28
11.123408	28
11.174417	30
11.225445	29
11.276471	29
11.327487	29
11.378508	30
11.429525	29
11.480540	31
11.531583	27
11.582599	28
11.633619	29
11.684640	29
11.735668	28
11.786702	29
11.837729	30
11.888774	27
11.939818	27
11.990832	30
12.041852	30
12.092871	28
12.143886	29
12.194903	31
12.245967	29
12.297003	30
12.348022	27
12.399040	30
12.450065	29
12.501086	30
12.552108	28
12.603130	29
12.654152	30
12.705170	27
12.756243	29
12.807308	29
12.858745	28
12.910171	28
12.961488	29
13.012553	31
